,Tweet Created At,Tweet Text,Tweet Link,code_clasif,class,lecture_name,date,hour,classroom
1739,2018-12-11 06:12:15,ECEU Matematika Ekonomi amp Bisnis dosen Nachrowi kuliah Pengganti akan diberikan hari Selasa 11/12  jam 14.00 R. B.107,twitter.com/i/web/status/1072373476214890497,ECEU,Matematika Ekonomi  Bisnis,Nachrowi,Selasa 11/12,14.00,B.107
1741,2018-12-11 03:13:37,ECEU Mikroekonomi 1 dosen M. Shauqi Azar kuliah pengganti akan diberikan hari Selasa 11/12 jam 14.00 R. A.102,twitter.com/i/web/status/1072328522075537408,ECEU,Mikroekonomi 1,M. Shauqi Azar,Selasa 11/12,14.00,A.102
1744,2018-12-11 02:40:35,ECEU Analisis Proyek Publik dosen Rima Prima Artha kuliah pengganti akan diberikan hari Rabu 12/12 jam 16.30 R. A.113,twitter.com/i/web/status/1072320208952418304,ECEU,Analisis Proyek Publik,Rima Prima Artha,Rabu 12/12,16.30,A.113
1745,2018-12-11 02:35:19,ECAU Pengantar Akuntansi dosen Ruddy Koesnadi kuliah hari Kamis 13/12 ditiadakan diganti hari Rabu 12/12 jam 16.30 R. Sidharta,twitter.com/i/web/status/1072318885330771968,ECAU,Pengantar Akuntansi,Ruddy Koesnadi,Kamis 13/12 ditiadakan diganti,,
1746,2018-12-11 02:33:52,ECAU Analisa Penggunaan Laporan Keuangan A dosen Rallyati / Evony Silvino kuliah pengganti akan diberikan hari Selasa 11/12 jam 16.30 R. A.211,twitter.com/i/web/status/1072318518425600000,ECAU,Analisa Penggunaan Laporan Keuangan A,Rallyati / Evony Silvino,Selasa 11/12,16.30,A.211
1747,2018-12-11 02:11:31,ECEI Bisnis Global Islam dosen Evony S. Kuliah Pengganti akan diberikan Hari Selasa11/12 Jam 13.30 Ruang B.108,twitter.com/i/web/status/1072312893587275781,ECEI,Bisnis Global Islam,Evony S.,Selasa11/12,13.30,B.108
1750,2018-12-10 07:04:01,ECFE MPKT A A dosen Heru Sudarisman kuliah tambahan akan diberikan hari Senin 10/12 jam 19.00 R. A.113,twitter.com/i/web/status/1072024115463118848,ECFE,MPKT A A,Heru Sudarisman,Senin 10/12,19.00,A.113
1751,2018-12-10 06:59:33,ECMU Tanggung Jawab Sosial Etika Bisnis dosen Riga Adiwoso kuliah pengganti akan diberikan hari Selasa 11/12 jam 11.00 R. A.111,twitter.com/i/web/status/1072022991762944000,ECMU,Tanggung Jawab Sosial Etika Bisnis,Riga Adiwoso,Selasa 11/12,11.00,A.111
1752,2018-12-10 06:57:52,ECAU Akuntansi Organisasi Nirlaba dosen Dodik Siswantoro kuliah pengganti akan diberikan hari Selasa 11/12 jam 08.00 R. A.107,twitter.com/i/web/status/1072022571497926656,ECAU,Akuntansi Organisasi Nirlaba,Dodik Siswantoro,Selasa 11/12,08.00,A.107
1753,2018-12-10 06:29:09,ECIE Bisnis Global Islam dosen Evony Silvino kuliah tambahan akan diberikan hari Selasa 11/12 jam 16.30 R. A.112,twitter.com/i/web/status/1072015344837914624,ECIE,Bisnis Global Islam,Evony Silvino,Selasa 11/12,16.30,A.112
1754,2018-12-10 06:24:44,ECMU Manajemen Keuangan dosen Adhi Vithara kuliah tambahan akan diberikan hari Selasa 11/12 jam 08.00 R. A.212,twitter.com/i/web/status/1072014231728349184,ECMU,Manajemen Keuangan,Adhi Vithara,Selasa 11/12,08.00,A.212
1755,2018-12-10 04:33:26,ECAU Pengantar Akuntansi E Chaerul D. Djakman kuliah hari Kamis 13/12 DITIADAKAN kuliah pengganti akan diberikan hari Senin 10/12 jam 14.00 R. A.206,twitter.com/i/web/status/1071986220090228736,ECAU,Pengantar Akuntansi E Chaerul D. Djakman,hari Kamis 13/12 DITIADAKAN,Senin 10/12,14.00,A.206
1756,2018-12-10 04:09:45,ECMU Manajemen Pemasaran dosen Rifelly Dewi Astuti kuliah tambahan akan diberikan hari Selasa 11/12 jam 08.00 R. A.205,twitter.com/i/web/status/1071980263385616384,ECMU,Manajemen Pemasaran,Rifelly Dewi Astuti,Selasa 11/12,08.00,A.205
1757,2018-12-10 04:06:03,ECMU Pengantar Bisnis dosen Niniek L. Gyat kuliah tambahan akan diberikan hari Selasa 11/12 jam 08.00 R. A.105,twitter.com/i/web/status/1071979329179987971,ECMU,Pengantar Bisnis,Niniek L. Gyat,Selasa 11/12,08.00,A.105
1758,2018-12-10 04:03:34,ECAU Akuntansi Sektor Publik dosen Deddi Nordiawan kuliah tambahan akan diberikan hari Senin 10/12 jam 16.30 R. A.203,twitter.com/i/web/status/1071978705046532096,ECAU,Akuntansi Sektor Publik,Deddi Nordiawan,Senin 10/12,16.30,A.203
1759,2018-12-10 03:28:36,ECMU Bisnis Internasional dosen Sari Wahyuni kuliah hari Rabu 12/12 DITIADAKAN diganti hari Senin 10/12 jam  16.30 R. A.102,twitter.com/i/web/status/1071969906931855361,ECMU,Bisnis Internasional,Sari Wahyuni,Rabu 12/12 DITIADAKAN diganti,,
1760,2018-12-10 03:21:48,ECIE Manajemen Filantoropi Islam dosen Miranti Kartika Dewi kuliah tambahan akan diberikan hari Selasa 11/12 jam 11.00 R. A.207,twitter.com/i/web/status/1071968193877434368,ECIE,Manajemen Filantoropi Islam,Miranti Kartika Dewi,Selasa 11/12,11.00,A.207
1764,2018-12-10 02:14:49,ECEU Ekonomi Kemiskinan dosen Kartika Sari Juniwati kuliah pengganti akan diberikan hari Senin 10/12 jam 16.30 R. A.109,twitter.com/i/web/status/1071951338303500289,ECEU,Ekonomi Kemiskinan,Kartika Sari Juniwati,Senin 10/12,16.30,A.109
1765,2018-12-10 02:13:37,ECEU Mikroekonomi 1 F dosen Niniek L. Gyat kuliah pengganti akan diberikan hari Selasa 11/12 jam 11.00 R. A.106,twitter.com/i/web/status/1071951035327868928,ECEU,Mikroekonomi 1 F,Niniek L. Gyat,Selasa 11/12,11.00,A.106
1766,2018-12-10 01:46:00,ECMU Manajemen Keuangan dosen M. Budi P  kls H Kuliah Pengganti akan Diberikan Hari Senin 10/12 jam 11.00 Ruang B.110,twitter.com/i/web/status/1071944087660486656,ECMU,Manajemen Keuangan,M. Budi P  kls H,Senin 10/12,11.00,B.110
1767,2018-12-10 01:45:45,ECMU Ekonomi Zakat 7 Wakaf  dosen Mustaf Edwin N Kuliah Pengganti akan Diberikan Hari Senin 10/12 jam 11.00 Ruang B.111,twitter.com/i/web/status/1071944025047879680,ECMU,Ekonomi Zakat 7 Wakaf,Mustaf Edwin N,Senin 10/12,11.00,B.111
1768,2018-12-10 01:44:54,ECMU Kewirausaan Islam dosen Hapsari Kuliah Pengganti akan Diberikan Hari Senin 10/12 jam 11.00 Ruang B.106,twitter.com/i/web/status/1071943810555367424,ECMU,Kewirausaan Islam,Hapsari,Senin 10/12,11.00,B.106
1769,2018-12-10 01:13:52,ECIE Mikroekonomi 2 dosen Ari Kuncoro Kuliah Pengganti akan diberikan Hari Senin 10/12 Jam 12.00 Ruang. A.111,twitter.com/i/web/status/1071936001075961856,ECIE,Mikroekonomi 2,Ari Kuncoro,Senin 10/12,12.00,. A.111
1770,2018-12-08 02:08:14,ECAU Akuntansi Biaya  dosen : Rini Yulius kuliah pengganti akan   diberikan hari Sabtu:  8 Des' 2018  Pukul : 11.00 WIB.  di  Ruang  R. A.106,twitter.com/i/web/status/1071224906602340352,ECAU,Akuntansi Biaya,: Rini Yulius,Sabtu:  8 Des' 2018  Pukul : 11.00 WIB.  di,,A.106
